,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1981-02-02 05:00:00 UTC,26.75,26.75,26.63,26.63,106100,0,1,0.39856500880006,0.39856500880006,0.3967770536204,0.3967770536204,5.9416e+6
1981-02-03 05:00:00 UTC,27.62,27.75,27.62,27.62,85500,0,1,0.41152768385263,0.41346463529726,0.41152768385263,0.41152768385263,4.788e+6
1981-02-04 05:00:00 UTC,28.62,28.75,28.62,28.62,124400,0,1,0.42642731034982,0.42836426179446,0.42642731034982,0.42642731034982,6.9664e+6
1981-02-05 05:00:00 UTC,28.62,28.87,28.62,28.62,35400,0,1,0.42642731034982,0.43015221697412,0.42642731034982,0.42642731034982,1.9824e+6
1981-02-06 05:00:00 UTC,28.75,28.87,28.75,28.75,61900,0,1,0.42836426179446,0.43015221697412,0.42836426179446,0.42836426179446,3.4664e+6
1981-02-09 05:00:00 UTC,27.5,27.5,27.25,27.25,74800,0,1,0.40973972867296,0.40973972867296,0.40601482204866,0.40601482204866,4.1888e+6
1981-02-10 05:00:00 UTC,27.25,27.38,27.25,27.25,81900,0,1,0.40601482204866,0.4079517734933,0.40601482204866,0.40601482204866,4.5864e+6
1981-02-11 05:00:00 UTC,26.5,26.5,26.37,26.37,61800,0,1,0.39484010217576,0.39484010217576,0.39290315073113,0.39290315073113,3.4608e+6
1981-02-12 05:00:00 UTC,26.25,26.25,26.13,26.13,65000,0,1,0.39111519555146,0.39111519555146,0.3893272403718,0.3893272403718,3.64e+6
1981-02-13 05:00:00 UTC,25.75,25.75,25.5,25.5,49800,0,1,0.38366538230286,0.38366538230286,0.37994047567856,0.37994047567856,2.7888e+6
1981-02-17 05:00:00 UTC,26.13,26.25,26.13,26.13,54800,0,1,0.3893272403718,0.39111519555146,0.3893272403718,0.3893272403718,3.0688e+6
1981-02-18 05:00:00 UTC,27.25,27.5,27.25,27.25,85900,0,1,0.40601482204866,0.40973972867296,0.40601482204866,0.40601482204866,4.8104e+6
1981-02-19 05:00:00 UTC,25.75,25.75,25.63,25.63,99600,0,1,0.38366538230286,0.38366538230286,0.3818774271232,0.3818774271232,5.5776e+6
1981-02-20 05:00:00 UTC,24.38,24.38,24.25,24.25,108800,0,1,0.3632528940017,0.3632528940017,0.36131594255707,0.36131594255707,6.0928e+6
1981-02-23 05:00:00 UTC,24.62,24.75,24.62,24.62,63000,0,1,0.36682880436103,0.36876575580567,0.36682880436103,0.36682880436103,3.528e+6
1981-02-24 05:00:00 UTC,24,24,23.75,23.75,75800,0,1,0.35759103593277,0.35759103593277,0.35386612930847,0.35386612930847,4.2448e+6
1981-02-25 05:00:00 UTC,25.25,25.37,25.25,25.25,87000,0,1,0.37621556905426,0.37800352423393,0.37621556905426,0.37621556905426,4.872e+6
