"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1970-06-03",56.87,56.87,56.25,56.87,56800,0,1,0.9429981353072,0.9429981353072,0.93271751557992,0.9429981353072,1817600
"1970-06-04",56.87,56.87,55.62,55.62,63400,0,1,0.9429981353072,0.9429981353072,0.92227107940543,0.92227107940543,2028800
"1970-06-05",55.25,55.25,54.25,54.5,52900,0,1,0.9161358708585,0.9161358708585,0.89955422613708,0.90369963731743,1692800
"1970-06-08",54.5,55.25,54.13,54.38,60500,0,1,0.90369963731743,0.9161358708585,0.89756442877051,0.90170983995086,1936000
"1970-06-09",54.38,54.87,54.38,54.5,23100,0,1,0.90170983995086,0.90983484586436,0.90170983995086,0.90369963731743,739200
"1970-06-10",54.5,54.62,54,54.13,46800,0,1,0.90369963731743,0.90568943468401,0.89540881495672,0.89756442877051,1497600
"1970-06-11",54.13,54.38,53.75,54.13,38400,0,1,0.89756442877051,0.90170983995086,0.89126340377637,0.89756442877051,1228800
"1970-06-12",54.13,54.5,53.75,54.38,21500,0,1,0.89756442877051,0.90369963731743,0.89126340377637,0.90170983995086,688000
"1970-06-15",54.38,55.5,54,54.5,31600,0,1,0.90170983995086,0.92028128203886,0.89540881495672,0.90369963731743,1011200
"1970-06-16",54.5,56.13,54.38,55.75,36600,0,1,0.90369963731743,0.93072771821335,0.90170983995086,0.92442669321921,1171200
"1970-06-17",55.75,56.38,55.62,55.87,29600,0,1,0.92442669321921,0.93487312939371,0.92227107940543,0.92641649058578,947200
"1970-06-18",55.87,57.13,55.5,56.5,31100,0,1,0.92641649058578,0.94730936293477,0.92028128203886,0.93686292676028,995200
"1970-06-19",56.62,57.75,56.62,57.38,44900,0,1,0.93885272412685,0.95758998266205,0.93885272412685,0.95145477411513,1436800
"1970-06-22",57.38,57.38,56.38,57.25,42800,0,1,0.95145477411513,0.95145477411513,0.93487312939371,0.94929916030134,1369600
"1970-06-23",57.25,57.62,56.38,56.62,56300,0,1,0.94929916030134,0.95543436884827,0.93487312939371,0.93885272412685,1801600
"1970-06-24",56.38,56.38,55.75,55.87,66300,0,1,0.93487312939371,0.93487312939371,0.92442669321921,0.92641649058578,2121600
"1970-06-25",55.87,56.5,55.75,56.25,37900,0,1,0.92641649058578,0.93686292676028,0.92442669321921,0.93271751557992,1212800
"1970-06-26",56.25,56.25,55,55,33600,0,1,0.93271751557992,0.93271751557992,0.91199045967815,0.91199045967815,1075200
"1970-06-29",55,55.38,54.62,54.75,38200,0,1,0.91199045967815,0.91829148467229,0.90568943468401,0.90784504849779,1222400
"1970-06-30",54.75,55.13,54.62,54.75,31200,0,1,0.90784504849779,0.91414607349193,0.90568943468401,0.90784504849779,998400
"1970-07-01",54.75,55.38,54.25,54.62,41600,0,1,0.90784504849779,0.91829148467229,0.89955422613708,0.90568943468401,1331200
"1970-07-02",54.62,55.13,54.62,54.75,29100,0,1,0.90568943468401,0.91414607349193,0.90568943468401,0.90784504849779,931200
"1970-07-06",54.38,54.38,53,53.5,58700,0,1,0.90170983995086,0.90170983995086,0.8788271702353,0.88711799259601,1878400
"1970-07-07",53.5,53.75,52.87,53.38,57200,0,1,0.88711799259601,0.89126340377637,0.87667155642152,0.88512819522944,1830400
"1970-07-08",53.38,54.5,53.25,54.38,35300,0,1,0.88512819522944,0.90369963731743,0.88297258141566,0.90170983995086,1129600
"1970-07-09",54.5,55.38,54.5,54.75,66500,0,1,0.90369963731743,0.91829148467229,0.90369963731743,0.90784504849779,2128000
"1970-07-10",54.75,56.25,54.75,56.25,49300,0,1,0.90784504849779,0.93271751557992,0.90784504849779,0.93271751557992,1577600
"1970-07-13",56.25,57,56.25,56.5,27100,0,1,0.93271751557992,0.94515374912099,0.93271751557992,0.93686292676028,867200
"1970-07-14",56.5,56.62,56,56.13,31800,0,1,0.93686292676028,0.93885272412685,0.92857210439957,0.93072771821335,1017600
"1970-07-15",56.13,56.87,55.87,56.75,28800,0,1,0.93072771821335,0.9429981353072,0.92641649058578,0.94100833794063,921600
"1970-07-16",56.75,58.87,56.75,58.87,92600,0,1,0.94100833794063,0.97616142475004,0.94100833794063,0.97616142475004,2963200
"1970-07-17",59.13,60.38,59.13,59.5,85200,0,1,0.98047265237761,1.0011997082794,0.98047265237761,0.98660786092454,2726400
"1970-07-20",59.5,60.13,59.13,59.75,71900,0,1,0.98660786092454,0.99705429709903,0.98047265237761,0.99075327210489,2300800
"1970-07-21",59.75,59.87,59.25,59.62,39300,0,1,0.99075327210489,0.99274306947146,0.98246244974418,0.98859765829111,1257600
"1970-07-22",59,59,57.75,58.62,110500,0,1,0.97831703856383,0.97831703856383,0.95758998266205,0.97201601356969,3536000
"1970-07-23",58.62,59.87,58.38,59.87,57200,0,1,0.97201601356969,0.99274306947146,0.96803641883655,0.99274306947146,1830400
"1970-07-24",59.87,59.87,59.38,59.87,33600,0,1,0.99274306947146,0.99274306947146,0.98461806355797,0.99274306947146,1075200
"1970-07-27",59.87,60.13,59.75,60,40000,0,1,0.99274306947146,0.99705429709903,0.99075327210489,0.99489868328525,1280000
"1970-07-28",60,60.13,59.75,59.75,31000,0,1,0.99489868328525,0.99705429709903,0.99075327210489,0.99075327210489,992000
"1970-07-29",59.75,60.25,59.38,60.25,49200,0,1,0.99075327210489,0.9990440944656,0.98461806355797,0.9990440944656,1574400
"1970-07-30",60.25,61.38,60.13,61,55100,0,1,0.9990440944656,1.0177813530008,0.99705429709903,1.0114803280067,1763200
"1970-07-31",61.13,62.25,61.13,62,123500,0,1,1.0136359418205,1.0322073839084,1.0136359418205,1.0280619727281,3952000
"1970-08-03",61.87,61.87,60.5,60.75,41400,0,1,1.0259063589143,1.0259063589143,1.003189505646,1.0073349168263,1324800
"1970-08-04",60.75,60.87,60,60.62,53300,0,1,1.0073349168263,1.0093247141929,0.99489868328525,1.0051793030125,1705600
"1970-08-05",60.87,61.75,60.87,61.75,53200,0,1,1.0093247141929,1.0239165615477,1.0093247141929,1.0239165615477,1702400
"1970-08-06",61.75,62.13,61.13,62,80600,0.02813,1,1.0243811224006,1.0306850062307,1.0140958382566,1.0285284143941,2579200
"1970-08-07",62.25,64.25,62.25,64.25,102400,0,1,1.0326757063876,1.0658540423358,1.0326757063876,1.0658540423358,3276800
"1970-08-10",63.87,63.87,62.25,62.38,68400,0,1,1.0595501585057,1.0595501585057,1.0326757063876,1.0348322982243,2188800
"1970-08-11",62.13,62.13,61.38,62.13,49100,0,1,1.0306850062307,1.0306850062307,1.0182431302502,1.0306850062307,1571200
"1970-08-12",62.25,62.87,62.25,62.62,46100,0,1,1.0326757063876,1.0429609905316,1.0326757063876,1.038813698538,1475200
"1970-08-13",62.62,62.62,61.5,61.62,88400,0,1,1.038813698538,1.038813698538,1.0202338304071,1.0222245305639,2828800
"1970-08-14",61.62,62.38,61.5,62.13,89600,0,1,1.0222245305639,1.0348322982243,1.0202338304071,1.0306850062307,2867200
"1970-08-17",62.13,62.62,62.13,62.5,24000,0,1,1.0306850062307,1.038813698538,1.0306850062307,1.0368229983812,768000
"1970-08-18",62.5,63.87,62.5,63.75,48700,0,1,1.0368229983812,1.0595501585057,1.0368229983812,1.0575594583488,1558400
"1970-08-19",64,66,64,65.75,154000,0,1,1.0617067503423,1.0948850862905,1.0617067503423,1.090737794297,4928000
